Attribute	frequency
omg	14
grace	14
throw	14
mahkani	14
im	14
gf	14
example	14
absolute	14
meatballs	14
hire	14
ceiling	14
san	14
arrival	14
hates	14
trader	14
background	14
behavior	14
apologies	14
sheekh	14
criteria	14
jenish	14
esp	14
chimichurri	14
cell	14
quinoa	14
knife	14
nuts	14
hurry	14
hits	14
brothers	14
rat	14
rip	14
maria	14
vinegar	14
catering	14
gives	14
luke	14
waits	14
accompanying	14
cousin	14
makani	14
varieties	14
leg	14
melts	14
suburbs	14
super	14
takes	14
negroni	14
nann	14
ingredient	14
raj	14
blame	14
tenderness	14
choose	14
display	14
sausage	14
pros	14
kept	14
sucks	14
television	14
floors	14
airy	14
yesterday	14
checking	14
walking	14
ethnic	14
annapurna	14
doughy	14
tree	14
speaks	14
insane	14
resturant	14
appearance	14
lahori	14
renovation	14
refers	14
v	14
collard	14
vermilion	14
incident	14
valentines	14
campus	14
medu	14
chose	13
concern	13
rang	13
poisoning	13
isnt	13
doubt	13
foil	13
lovers	13
re	13
saucy	13
realize	13
steps	13
mirchi	13
view	13
deserts	13
works	13
seat	13
lil	13
self	13
cooler	13
listing	13
aside	13
must	13
adventures	13
goods	13
faces	13
western	13
cleaner	13
cloth	13
baba	13
prawn	13
dirt	13
choosa	13
skin	12
imagine	12
plans	12
flow	12
ready	12
put	12
tilapia	12
bath	12
match	12
greeting	12
crowds	12
beat	12
con	12
bargain	12
steamy	12
response	12
going	12
forgot	12
gave	12
child	12
mean	12
fave	12
path	12
entrance	12
story	12
sans	12
killer	12
sent	12
coriander	12
dinning	12
thoughts	12
welcoming	12
photos	12
highlight	12
correct	12
honest	12
destination	12
kingfisher	12
fall	12
layout	12
nazia	12
lotus	12
compare	12
model	12
thumbs	12
ontario	12
nassir	12
seeds	12
means	12
dressing	12
ol	12
cousins	12
understands	12
focus	12
flare	12
sheer	12
fans	12
pungent	12
fajitas	12
johnny	12
zabiha	12
load	12
ny	12
dozens	12
sauteed	12
sh	12
steaks	12
grandmother	12
giardiniera	12
fiery	12
purpose	12
advance	12
velvety	12
pink	12
risk	12
ya	12
pancake	12
mary	12
lists	12
slight	12
tap	12
division	12
barbecue	12
liquid	12
dog	12
pain	12
payment	12
gooey	12
burnt	12
theater	12
believe	12
knit	12
everytime	12
somali	12
seem	12
holiday	12
osco	12
draw	12
frills	12
shape	12
route	12
kidney	12
tips	12
medhu	12
abt	12
vadai	12
doesnt	12
hospitality	12
bk	12
sheek	12
makhini	12
h	12
east	12
butcher	12
oven	12
brings	12
fit	12
trio	12
jasmine	12
whipping	12
medley	12
samples	12
vinaigrette	12
entrant	12
pet	12
bullet	12
unlike	12
marisa	12
sales	12
spit	12
material	12
rundown	12
comment	12
ke	12
chapli	12
retail	12
bellpeppee	12
hell	12
employee	12
fireplace	12
makhanj	12
canola	12
octopus	12
teleportation	12
juhu	12
rican	12
croquette	12
oyster	12
vinegary	12
push	12
sprouts	12
kris	12
pulka	12
worthless	12
plaster	12
idlies	12
shops	11
nut	11
hi	11
beneath	11
fool	11
peak	11
tradition	11
arrangement	11
anyways	11
tarka	11
fist	11
bartha	11
admit	11
known	11
ourselves	11
bring	11
chillies	11
eyes	11
rotation	11
crab	11
nonsense	11
event	11
company	11
hotter	11
fork	11
smokey	11
cos	11
chat	11
nehari	11
kebob	11
board	11
carryout	11
donut	11
british	11
theme	11
prefer	11
outdoor	11
game	11
donuts	11
excuse	11
advice	11
body	11
manhattan	11
buddy	11
subtle	11
control	11
element	11
working	11
warmth	11
bigger	11
looking	11
heavy	11
reminds	11
union	11
salan	11
preferences	11
abi	11
minus	11
