Attribute	Frequency
oak	53
eater	52
entrance	52
apart	52
contrast	52
buns	52
word	52
walls	52
lemongrass	52
ukai	52
request	51
suggestions	51
son	51
little	51
maybe	51
shop	51
today	51
strawberry	51
pop	51
mono	51
dashi	50
cabbage	50
lime	50
alternative	50
am	50
collar	50
pear	50
mexican	50
locations	50
tan	50
leaf	50
gras	50
high	50
softshell	49
passion	49
starters	49
empty	49
weather	49
bun	49
seeds	49
kitsune	49
longer	48
madai	48
paste	48
king	48
hubby	48
urchin	48
made	48
random	48
sit	48
citrus	48
albacore	48
gomae	48
bibimbop	48
bop	48
ikura	47
sticks	47
came	47
boy	47
hint	47
taro	47
siu	47
char	47
sorry	47
change	47
preparation	47
vibes	47
start	47
establishment	47
guests	47
boxes	47
drop	47
brunch	47
taku	47
ribeye	46
lovers	46
ae	46
credit	46
bottom	46
basil	46
chill	46
while	46
words	46
chinese	46
lotus	46
dinners	45
soggy	45
vanilla	45
center	45
show	45
kbbq	45
mom	45
spinach	45
kara	45
dollar	45
fake	45
cucumbers	45
shio	45
hair	45
silver	45
desert	45
ship	45
matsuya	45
agami	45
omg	44
ika	44
radish	44
lights	44
disappointment	44
window	44
refreshing	44
smaller	44
bits	44
patrons	44
coffee	44
robert	44
mirai	44
tax	43
view	43
got	43
difference	43
surf	43
mention	43
deals	43
bay	43
online	43
do	43
grocery	43
slider	43
hyde	43
alaskan	42
company	42
tangy	42
hama	42
every	42
alcohol	42
berkshire	42
melts	42
gift	42
months	42
call	42
together	42
fare	42
awkward	42
potstickers	42
meaty	42
strips	42
boston	42
container	42
wooden	42
ny	42
meets	42
r	42
squash	42
jazz	42
highlight	41
tomato	41
delight	41
hopes	41
ate	41
dine	41
spaghetti	40
basement	40
toast	40
creations	40
tag	40
upscale	40
yakisoba	40
downside	40
cali	40
bone	40
caterpillar	40
lollipops	40
broccoli	40
gets	40
cause	40
refills	40
noise	40
porridge	40
blah	40
sunny	39
preference	39
yakitori	39
diners	39
smoky	39
shot	39
goma	39
cups	39
lack	39
scoop	39
me	39
fiesta	39
wise	39
consistency	39
complaint	39
thank	39
split	39
windows	39
beverages	39
snob	39
tart	39
key	39
kamikaze	39
mentaiko	38
tell	38
rare	38
fry	38
questions	38
shiitake	38
mussels	38
tray	38
buds	38
whole	38
plum	38
turf	38
shops	38
alone	38
face	38
ecuador	38
perfection	37
creation	37
heart	37
aka	37
skip	37
mustard	37
blend	37
sapporo	37
recommendation	37
spending	37
boat	37
hipster	37
crepe	37
extra	37
square	37
el	37
comment	37
kids	37
grab	37
fair	37
katana	37
presentations	36
san	36
didnt	36
decadent	36
akami	36
very	36
scene	36
bourbon	36
notice	36
test	36
matter	36
dente	36
nights	36
platters	36
sizes	36
return	36
puree	36
dry	36
bluefin	36
smooth	36
chicagoland	36
mint	36
mother	36
moon	36
rate	36
pig	36
hasn	36
won	36
phoenix	36
ara	36
chance	35
total	35
waste	35
fave	35
decision	35
oxtail	35
moist	35
compliment	35
carrots	35
help	35
bc	35
albeit	35
umami	35
tonight	35
bother	35
hop	35
kizuki	35
tenderloin	35
stickers	35
hole	35
meeting	35
anyway	34
tsukune	34
mess	34
refill	34
pricier	34
whisky	34
towards	34
ass	34
horse	34
setting	34
st	34
men	34
rainy	34
amuse	34
making	34
arugula	34
cauliflower	34
mill	34
ingredient	34
panko	34
standards	34
forest	34
class	33
fit	33
seem	33
sirloin	33
needs	33
ta	33
move	33
detail	33
dates	33
life	33
serve	33
theirs	33
layer	33
mistake	33
shabu	33
aioli	33
flakes	33
decorations	33
carrot	33
weeks	33
philadelphia	33
para	33
mitch	33
aburi	32
valentine	32
plan	32
towel	32
mild	32
champagne	32
angel	32
fav	32
tapas	32
impress	32
month	32
hit	32
polenta	32
fixe	32
opportunity	32
must	32
atop	32
can	32
vs	32
management	32
servings	32
imitation	32
partner	32
banana	32
expectation	32
designs	32
shouldn	32
products	32
reviewers	32
whenever	32
draft	32
brownie	32
ora	32
filling	31
beni	31
frills	31
succulent	31
including	31
afterwards	31
bomb	31
wrap	31
plating	31
flowers	31
eaters	31
zucchini	31
wish	31
ramens	31
bamboo	31
slight	31
taking	31
larger	31
parts	31
karage	31
carry	31
picture	31
combos	31
cleanliness	31
en	31
meh	30
flair	30
firm	30
delicate	30
makis	30
concoction	30
pineapple	30
cherry	30
shitake	30
left	30
hungry	30
cheaper	30
mexicana	30
wakame	30
guys	30
afternoon	30
blocks	30
bao	30
zealand	30
treats	30
zero	30
liver	30
firecracker	30
berwyn	30
thicker	29
photos	29
complex	29
blossom	29
quiet	29
exterior	29
top	29
minor	29
pictures	29
celebration	29
bitters	29
waffle	29
offers	29
bincho	29
diner	29
briny	28
getting	28
talk	28
kabocha	28
sugar	28
points	28
booth	28
depth	28
pricy	28
melt	28
eats	28
timing	28
broths	28
strange	28
myself	28
ratings	28
par	28
butterfish	28
folks	28
margarita	28
spin	28
forgot	28
sunflower	28
effect	28
frequent	28
suzuki	28
flavours	28
breading	28
garden	28
oshinko	28
devon	28
sent	28
club	28
futatsuki	28
stir	28
sizzle	28
ravioli	28
donut	28
fat	27
smoke	27
sort	27
palate	27
juice	27
gin	27
industry	27
closer	27
legit	27
mini	27
creativity	27
guest	27
dollars	27
theme	27
ladies	27
tops	27
game	27
marinade	27
weekday	27
well	27
beets	27
reading	27
